Dataset,Algorithm,Hyper-parameter name,Hyper-parameter value,Metric name,Metric value,Num clusters
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,52.0,BIC,636701.2222600715,52
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,57.0,VRC,4042.355211198545,57
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,57.0,Silhouette,0.07604622828120627,57
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,57.0,SSE-Elbow,614128.7185530862,57
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,57.0,DB,1.7729344057343566,57
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,57.0,BIC,621063.8857879334,57
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,62.0,VRC,3851.653323567944,62
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,62.0,Silhouette,0.07446310504012334,62
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,62.0,SSE-Elbow,591258.9821166781,62
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,62.0,DB,1.8013877750600764,62
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,62.0,BIC,598803.2022238576,62
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,67.0,VRC,3690.586407741971,67
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,67.0,Silhouette,0.07216388703511399,67
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,67.0,SSE-Elbow,576110.8619011808,67
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,67.0,DB,1.8060750461916129,67
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,67.0,BIC,584264.3015290818,67
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,72.0,VRC,3543.0085665210777,72
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,72.0,Silhouette,0.07453820335115782,72
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,72.0,SSE-Elbow,565180.3696403848,72
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,72.0,DB,1.8132462899794195,72
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,72.0,BIC,573943.8512593083,72
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,77.0,VRC,3397.3343502741823,77
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,77.0,Silhouette,0.07510019673984367,77
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,77.0,SSE-Elbow,551842.8637256187,77
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,77.0,DB,1.8142220510070508,77
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,77.0,BIC,561215.779416431,77
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,82.0,VRC,3266.4312176932845,82
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,82.0,Silhouette,0.07171118778803458,82
TV News Channel Commercial Detection Dataset,Agglomerative,n_clusters,82.0,SSE-Elbow,539848.0462410741,82
